outcome,outcome_label,operation,operation_class,workload_size,concurrency,valid_pairs,traditional_median,traditional_q1,traditional_q3,fabric_median,fabric_q1,fabric_q3,paired_median_difference,difference_ci95_low,difference_ci95_high,paired_median_ratio,ratio_ci95_low,ratio_ci95_high,wilcoxon_statistic,wilcoxon_w_plus,wilcoxon_w_minus,wilcoxon_nonzero_pairs,p_value_unadjusted,rank_biserial_fabric_minus_traditional,p_value_holm,holm_significant_0_05
p95_latency_ms,P95 latency,OP3,ledger_write,100,5,10,90.48993535,42.9603321125,140.1189523,2205.92490935,2188.03056097,2231.54553252,2122.65032953,2030.71976112,2178.37446915,26.3779774578,15.0132183201,54.6548218507,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,100,10,10,69.196376975,68.25526175,71.9044532625,180.435723525,159.631896613,242.116652675,110.432352425,89.24091945,194.1630347,2.37090896634,1.93110361585,3.32488890854,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,500,1,10,22.85983085,20.5669066625,23.836371275,2218.30328245,2201.07007781,2253.47558478,2194.99792903,2171.27385577,2381.54520135,101.250132671,91.2701450295,118.881480506,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,500,5,10,72.1560218,59.751075025,81.68237515,2223.97221068,2206.4677685,2259.01333099,2155.43774273,2102.5763435,2203.94585783,34.1262539684,24.2648328649,50.1370992879,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,500,10,10,120.9498659,100.894119537,157.808725675,336.358140575,295.303071887,353.14112815,201.2086759,104.6769372,271.20386875,2.84503667902,1.64006268279,4.0319011598,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,1000,1,10,23.56844,20.3919563625,24.8098082875,2247.35985957,2193.17512146,2311.107281,2225.40114615,2164.0392574,2271.3087468,101.907358339,65.0449834465,110.537837049,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,1000,5,10,70.76348795,58.606318225,74.2715165875,2250.91586765,2226.55007661,2279.87540843,2179.2424778,2150.40994732,2484.90794313,31.2595284066,28.9714484708,46.0735563887,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP3,ledger_write,1000,10,10,127.7675069,102.6241637,176.098949887,429.74224345,400.3147632,461.7914765,282.919281,246.2795419,365.77469035,3.18634592966,2.30523397652,4.63554729425,7,48,7,10,0.037109375,0.745454545455,0.037109375,True
p95_latency_ms,P95 latency,OP4,ledger_write,100,1,10,14.6231874,13.7644264,16.93990435,2218.15634225,2195.66563316,2242.92481961,2201.8560836,2161.4582399,2229.37827685,151.29251727,96.2387128229,180.745425469,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,100,5,10,34.8568416,34.07660335,36.4515065875,2220.2443871,2208.95884032,2251.78609241,2175.23521205,2141.4369568,2224.5445575,62.6184141308,55.2655597387,65.815465482,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,100,10,10,89.718532175,70.8993165,247.759452575,197.78526265,184.810182962,321.559201538,113.3431981,99.03813525,176.956070625,2.30711541683,1.6686753917,2.59001102814,1,54,1,10,0.00390625,0.963636363636,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,500,1,10,20.6860093,18.2794903375,23.9786013625,2195.01453827,2179.5282244,2213.99692972,2173.19754057,2157.25545128,2211.70335507,106.930534751,89.2399088396,134.484781634,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,500,5,10,60.789741725,34.452121775,82.9697252125,2214.5017475,2188.70120896,2255.80495635,2144.31443415,2094.61067342,2199.67042608,37.5990468259,25.4523803401,66.1587794178,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,500,10,10,90.56201915,71.83926665,125.75644725,299.165409175,281.855923375,330.558671337,195.38754455,175.7530634,243.20632355,3.13583574348,2.35841905519,4.76458829223,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,1000,1,10,19.11490785,16.6700959375,25.25613835,2244.89883635,2209.5187129,2300.20018338,2219.88393757,2172.7380938,2288.3383227,115.639126294,81.9053840728,137.390354823,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,1000,5,10,51.51513015,43.2529577375,63.4073636375,2247.75706967,2241.0018086,2258.4265247,2202.87410123,2166.74957242,2208.7453595,43.7818281369,33.7229423467,53.5640511243,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP4,ledger_write,1000,10,10,144.8299997,120.35108555,175.2473908,402.965853825,344.979832137,444.87933275,263.1506731,177.87320715,302.54408315,2.64954230019,2.2069611068,3.44498088285,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP5,read_check,100,1,10,8.848822425,8.209675975,30.9600050375,23.034102975,15.7685994625,39.6141790125,7.65581315,1.38604915,20.51644535,1.85246016618,1.3483058393,2.60130742494,7,48,7,10,0.037109375,0.745454545455,0.08203125,False
p95_latency_ms,P95 latency,OP5,read_check,100,5,10,19.30554615,18.6684478625,69.7090799375,60.922271475,51.9742318875,139.789488337,38.324960975,0.54310045,92.75577255,2.28776641151,1.46421538482,4.69822200494,6,49,6,10,0.02734375,0.781818181818,0.08203125,False
p95_latency_ms,P95 latency,OP5,read_check,100,10,10,87.994301625,73.6840067,216.468798687,114.320511875,107.235730812,137.787567563,32.341539775,-111.56286015,67.145288975,1.42741994485,0.564745962301,1.92460222396,25,30,25,10,0.845703125,0.0909090909091,0.845703125,False
p95_latency_ms,P95 latency,OP5,read_check,500,1,10,9.7667905,9.143806125,16.0400749875,24.9339181,22.4446598375,26.2522155125,13.40951625,7.1036045,16.47561555,2.37904960833,1.46877264207,2.81238165404,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP5,read_check,500,5,10,34.142113175,23.5558822,52.2243950125,74.802976125,64.8556898875,101.65809705,36.48383865,20.33046405,63.44993965,2.03128404516,1.5287345968,4.09143150764,1,54,1,10,0.00390625,0.963636363636,0.01953125,True
p95_latency_ms,P95 latency,OP5,read_check,500,10,10,115.27125035,91.188571625,131.434309162,165.709996875,140.2401616,213.1785687,67.010584975,5.95405885,87.200066075,1.5987919838,1.0550652223,1.84581639423,5,50,5,10,0.01953125,0.818181818182,0.078125,False
p95_latency_ms,P95 latency,OP5,read_check,1000,1,10,11.65349,10.3220508625,11.9808795,27.19254765,24.18359135,30.179446,15.250547175,11.1104339,19.0112423,2.3090549253,2.05500080036,2.85342879857,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP5,read_check,1000,5,10,33.0526662,24.033374475,54.865623125,87.2643952,72.297531625,91.6746511625,40.960925575,35.2375131,52.387350675,2.70218821164,1.66284383567,2.99278709743,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP5,read_check,1000,10,10,112.110427725,106.211916,132.131288075,202.940627175,193.234020437,207.337071337,78.161077875,55.70501315,107.65578565,1.65325581206,1.41134618495,1.97234003794,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP6,read_check,100,1,10,10.836876825,9.3806345,14.6548339875,15.72272845,14.821504825,20.374274725,5.5522849,-0.11176625,9.515432975,1.55450184074,0.992498024213,1.88558079949,6,49,6,10,0.02734375,0.781818181818,0.08203125,False
p95_latency_ms,P95 latency,OP6,read_check,100,5,10,21.40931215,20.35218685,24.0028337625,44.49940355,39.3117775375,49.7835803875,21.52258665,5.206000175,28.4531446,2.06550974658,1.33496347473,2.44040657014,10,45,10,10,0.083984375,0.636363636364,0.16796875,False
p95_latency_ms,P95 latency,OP6,read_check,100,10,10,92.339128125,82.3442808,107.459934562,144.7472288,136.399670512,167.956501887,53.4987706,-53.362482425,139.4623595,1.54592278919,0.947149403196,2.79745451199,15,40,15,10,0.232421875,0.454545454545,0.232421875,False
p95_latency_ms,P95 latency,OP6,read_check,500,1,10,11.315841275,10.0835870375,14.685562775,21.98407945,19.606551375,26.572945625,10.081200875,6.080610725,13.5638166,1.9597768057,1.42399584483,2.21735816889,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP6,read_check,500,5,10,19.7430403,18.0777964375,37.093421075,69.727620325,45.8457186,81.6459489875,51.499294475,7.45706925,70.043867175,3.71613357334,1.37101128847,4.86333697841,3,52,3,10,0.009765625,0.890909090909,0.0390625,True
p95_latency_ms,P95 latency,OP6,read_check,500,10,10,87.40294235,82.2840640375,105.3857679,237.1257198,208.603758037,241.588797975,137.891582925,103.8416202,160.87109265,2.70021064865,1.86809871841,3.0385839426,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP6,read_check,1000,1,10,12.034521275,10.945177025,12.6394918875,27.170967175,24.213453225,27.84816415,14.419142475,11.19776685,17.3303664,2.14782865893,2.03402351579,2.51694365958,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP6,read_check,1000,5,10,30.009635175,19.5245332125,42.87098065,80.74186945,57.3885565375,84.72043455,40.17070245,24.5994786,61.60965995,2.19296562451,1.65624575172,4.11923305033,0,55,0,10,0.001953125,1,0.017578125,True
p95_latency_ms,P95 latency,OP6,read_check,1000,10,10,126.346359125,119.171025112,135.281739187,228.365908625,225.644167525,231.01867365,98.360976575,87.02069915,110.2762399,1.81771004225,1.64823719133,2.00399692882,0,55,0,10,0.001953125,1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,100,1,10,77.3595352203,50.8433596182,94.642686635,0.476616479707,0.474112659646,0.478168933926,-76.8814804224,-96.5001080134,-49.5205865555,0.00617983386127,0.0049248029159,0.00949209545379,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,100,5,10,151.810591934,131.742477997,155.847908008,2.35423046047,2.34678883114,2.36170867856,-149.459129277,-157.109725936,-111.739939831,0.0154926282712,0.0147543418165,0.02338916615,1,1,54,10,0.00390625,-0.963636363636,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,100,10,10,122.765612807,110.776380532,142.52794993,38.7224110823,26.8132169214,44.9231288398,-86.6613302713,-106.5458778,-56.6542315336,0.314184367722,0.199069449245,0.458152199315,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,500,1,10,72.5896858937,70.7824201305,74.4350184909,0.478064720905,0.474832730212,0.478869301066,-72.1111662038,-77.2321247379,-68.8236114735,0.00659340201201,0.00612835692273,0.00687748645357,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,500,5,10,166.201741337,147.999911969,169.898468755,2.35999937269,2.35362218693,2.36675206129,-163.840224164,-174.539423416,-141.265909245,0.014209440153,0.0133862616627,0.0164525694476,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,500,10,10,152.11126964,141.503558834,174.203655376,45.9789161508,42.6034528714,46.5621361993,-113.999226178,-135.597701002,-101.179741411,0.28477907555,0.1709266693,0.308515996231,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,1000,1,10,71.1171892774,67.6509769569,73.4874531152,0.476450505561,0.4740552714,0.477366449799,-70.6394133861,-73.327340687,-66.3688849646,0.00670461105146,0.00640604495578,0.0070908052305,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,1000,5,10,167.509496623,152.130325523,182.96091846,2.35849033813,2.34948285888,2.36079373498,-165.149050331,-183.244571639,-148.099480118,0.0141064107474,0.0127225032517,0.015590342124,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP1,ledger_write,1000,10,10,139.572856193,136.777107475,145.441487715,45.6178790007,45.1322825296,45.9671263967,-97.2448152728,-105.804924749,-86.1017647746,0.319833772019,0.304572354337,0.348083238939,0,0,55,10,0.001953125,-1,0.017578125,True
successful_throughput_ops_s,Successful throughput,OP2,read_check,100,1,10,160.408836917,144.089661931,169.574217235,49.6410232845,38.7526882335,50.7248302577,-112.688062381,-126.692449726,-94.6564363816,0.31311144804,0.216498025529,0.346077206778,0,0,55,10,0.001953125,-1,0.017578125,True
