pair_id,repetition,workload_size,concurrency,fabric_bytes,traditional_bytes,fabric_traditional_ratio
final-20260805T122631Z-11a3fbb-n1000-c05-r02,2,1000,5,241680384,51654656,4.6787725002
final-20260805T122631Z-11a3fbb-n1000-c05-r03,3,1000,5,241577984,51638272,4.67827397478
final-20260805T122631Z-11a3fbb-n1000-c05-r04,4,1000,5,241655808,51654656,4.67829672508
final-20260805T122631Z-11a3fbb-n1000-c05-r05,5,1000,5,241532928,51638272,4.67740144364
final-20260805T122631Z-11a3fbb-n1000-c05-r06,6,1000,5,241500160,51671040,4.67380103052
final-20260805T122631Z-11a3fbb-n1000-c05-r07,7,1000,5,241537024,51605504,4.68045082943
final-20260805T122631Z-11a3fbb-n1000-c05-r08,8,1000,5,241500160,51638272,4.67676687555
final-20260805T122631Z-11a3fbb-n1000-c05-r09,9,1000,5,241573888,51662848,4.67596923809
final-20260805T122631Z-11a3fbb-n1000-c05-r10,10,1000,5,241561600,51646464,4.67721468792
final-20260805T122631Z-11a3fbb-n1000-c10-r01,1,1000,10,240328704,51736576,4.64523790674
final-20260805T122631Z-11a3fbb-n1000-c10-r02,2,1000,10,240308224,51736576,4.64484205526
final-20260805T122631Z-11a3fbb-n1000-c10-r03,3,1000,10,240271360,51728384,4.64486499327
final-20260805T122631Z-11a3fbb-n1000-c10-r04,4,1000,10,240287744,51843072,4.63490558584
final-20260805T122631Z-11a3fbb-n1000-c10-r05,5,1000,10,240259072,51646464,4.65199460703
final-20260805T122631Z-11a3fbb-n1000-c10-r06,6,1000,10,240324608,51712000,4.64736633663
final-20260805T122631Z-11a3fbb-n1000-c10-r07,7,1000,10,240295936,51712000,4.64681188119
final-20260805T122631Z-11a3fbb-n1000-c10-r08,8,1000,10,240304128,51777536,4.64108852148
final-20260805T122631Z-11a3fbb-n1000-c10-r09,9,1000,10,240259072,51703808,4.6468351422
final-20260805T122631Z-11a3fbb-n1000-c10-r10,10,1000,10,240254976,51875840,4.63134622977
