pair_id,repetition,operation,workload_size,concurrency,attempt_id_fabric,attempt_id_traditional,run_id_fabric,run_id_traditional,attempted_requests_fabric,attempted_requests_traditional,successful_requests_fabric,successful_requests_traditional,failed_requests_fabric,failed_requests_traditional,success_rate_fabric,success_rate_traditional,p95_latency_ms_fabric,p95_latency_ms_traditional,successful_throughput_ops_s_fabric,successful_throughput_ops_s_traditional,p95_latency_ms_difference,p95_latency_ms_ratio,successful_throughput_ops_s_difference,successful_throughput_ops_s_ratio
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP1,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP1,n0100-c01-r03-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,3795.60204345,13.89370545,0.4151686754677635,98.52704870211232,3781.708338,273.188607396,-98.1118800266,0.00421375328843
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP2,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP2,n0100-c01-r03-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,32.1554686,7.11004355,36.05646345834707,173.994669976036,25.04542505,4.52254172198,-137.938206518,0.207227402215
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP3,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP3,n0100-c01-r03-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2275.4079004,13.632048,0.4729895955825366,95.74980976092672,2261.7758524,166.916071628,-95.2768201653,0.004939848933
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP4,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP4,n0100-c01-r03-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2280.1957262,50.81744935,0.4765118464717549,40.46303226804463,2229.37827685,44.8703300808,-39.9865204216,0.0117764739754
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP5,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP5,n0100-c01-r03-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,23.16716035,7.02788325,52.85323473191717,182.5951197367772,16.1392771,3.29646346217,-129.741885005,0.289455900071
final-20260805T122631Z-11a3fbb-n0100-c01-r03,3,OP6,100,1,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01,n0100-c01-r03-attempt01-fabric-measured-OP6,n0100-c01-r03-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,21.28943245,9.474731899999998,58.61936378825276,154.230222930117,11.81470055,2.24696937863,-95.6108591419,0.380077021705
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP1,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP1,n0100-c01-r04-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2278.13015745,38.89638154999999,0.4729233623229607,53.38800273355329,2239.2337759,58.5692053262,-52.9150793712,0.00885823290081
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP2,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP2,n0100-c01-r04-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,34.511101399999994,7.715341199999998,35.93138517104591,171.37136384818564,26.7957602,4.47304928005,-135.439978677,0.209669715898
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP3,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP3,n0100-c01-r04-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2237.1868911,16.166513949999995,0.4733683005047184,81.97568919943777,2221.02037715,138.384001524,-81.5023208989,0.00577449613571
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP4,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP4,n0100-c01-r04-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2245.04298925,13.6118042,0.4754605050347531,93.85802657028565,2231.43118505,164.933535354,-93.3825660653,0.00506574155039
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP5,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP5,n0100-c01-r04-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,26.06216655,30.35623205,51.53492982633161,70.40031285673753,-4.2940655,0.858544186481,-18.8653830304,0.732027000096
final-20260805T122631Z-11a3fbb-n0100-c01-r04,4,OP6,100,1,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01,n0100-c01-r04-attempt01-fabric-measured-OP6,n0100-c01-r04-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,21.67531135,13.92461025,60.37684190174999,101.39700638114682,7.7507011,1.55661888993,-41.0201644794,0.595449945285
final-20260805T122631Z-11a3fbb-n0100-c01-r05,5,OP1,100,1,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01,n0100-c01-r05-attempt01-fabric-measured-OP1,n0100-c01-r05-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2231.4221136,46.71464304999999,0.4739639825594374,49.10377156317367,2184.70747055,47.7670804679,-48.6298075806,0.00965229283762
